,average_vector_score,bm25_score,miss_word_num,sentence_len,hit_num,hit_ratio,label
40,1.0,7.451525629792229,0.0,2.0,2.0,1.0,1.0
41,0.8520431579585754,3.6827809851917057,1.0,7.0,1.0,0.14285714285714285,0.0
42,0.917432878168799,20.05118238997916,0.0,5.0,5.0,1.0,1.0
43,0.8156250536575823,4.967376840702692,0.0,7.0,2.0,0.2857142857142857,0.0
44,0.8965845907865022,23.687926215529224,1.0,5.0,5.0,1.0,1.0
45,0.7379982782588375,3.6768227570971157,0.0,6.0,1.0,0.16666666666666666,0.0
46,0.9592279290220989,18.593531063023427,0.0,6.0,4.0,0.6666666666666666,1.0
47,0.8868370244433209,6.247113577096817,0.0,2.0,2.0,1.0,0.0
48,0.9407011881314842,13.285414513330126,0.0,5.0,3.0,0.6,1.0
49,0.8452479088095289,3.8624726313695343,0.0,7.0,1.0,0.14285714285714285,0.0
50,0.8644794971973723,12.730364645867777,0.0,5.0,2.0,0.4,1.0
51,0.6999114248331,2.4631165205431462,1.0,8.0,1.0,0.125,0.0
52,0.9631727546468676,8.60626619577161,0.0,3.0,2.0,0.6666666666666666,1.0
53,0.8078039864289284,0.0,0.0,3.0,0.0,0.0,0.0
54,0.9361294378762487,7.778116315116072,1.0,5.0,2.0,0.4,1.0
55,0.7365385951541576,3.0865499955457647,0.0,5.0,1.0,0.2,0.0
56,0.8508583417240342,9.370868839014333,1.0,3.0,2.0,0.6666666666666666,1.0
57,0.7467194985387934,2.9995571334844784,0.0,9.0,1.0,0.1111111111111111,0.0
58,0.9520606487696414,14.003746915960138,0.0,3.0,3.0,1.0,1.0
59,0.85348512121781,3.7130909924550246,0.0,3.0,1.0,0.3333333333333333,0.0
60,0.8195348120558202,5.692494271681017,0.0,5.0,2.0,0.4,1.0
61,0.8982207492917885,10.689870356614593,0.0,4.0,3.0,0.75,0.0
62,1.0000000000000002,13.421352074019026,0.0,3.0,3.0,1.0,1.0
63,0.8473123591304068,3.533473210679915,0.0,2.0,1.0,0.5,0.0
64,0.9402428542120704,9.84623096299674,0.0,5.0,3.0,0.6,1.0
65,0.8902687348256387,8.139662111968375,0.0,4.0,2.0,0.5,0.0
66,0.9627900971289587,15.879906768643355,0.0,4.0,4.0,1.0,1.0
67,0.8426443683666717,4.166786962621733,0.0,12.0,1.0,0.08333333333333333,0.0
68,0.8500083920720921,15.503931667475635,0.0,5.0,3.0,0.6,1.0
69,0.7470189329129967,2.1772057648632983,0.0,4.0,1.0,0.25,0.0
70,0.8960715808802491,14.614783879173313,0.0,3.0,3.0,1.0,1.0
71,0.7251121540683124,2.3412319868235154,0.0,8.0,1.0,0.125,0.0
72,0.9760297919966653,13.39072090232597,0.0,4.0,3.0,0.75,1.0
73,0.805277773721465,0.0,0.0,4.0,0.0,0.0,0.0
74,0.9238789394380539,8.869765224270829,0.0,3.0,2.0,0.6666666666666666,1.0
75,0.789638925721384,0.0,0.0,7.0,0.0,0.0,0.0
76,0.7825114362907107,6.495532395638427,1.0,9.0,1.0,0.1111111111111111,1.0
77,0.6094880267031051,0.0,1.0,7.0,0.0,0.0,0.0
78,0.6928998990521482,2.3840375519899735,0.0,7.0,1.0,0.14285714285714285,1.0
79,0.6883212995333405,2.2235251333004196,0.0,8.0,1.0,0.125,0.0
80,0.9124459414301261,9.122609177300511,0.0,4.0,2.0,0.5,1.0
81,0.7911191620654437,0.0,0.0,4.0,0.0,0.0,0.0
82,0.9655282480183958,24.76830694864132,0.0,4.0,4.0,1.0,1.0
83,0.8497414380072693,6.16995677713892,0.0,9.0,1.0,0.1111111111111111,0.0
84,0.9787025541411942,16.29460263771307,0.0,4.0,4.0,1.0,1.0
85,0.8333139044039468,2.3981820445870348,0.0,3.0,1.0,0.3333333333333333,0.0
86,0.8273061668212265,16.504111310201292,1.0,7.0,4.0,0.5714285714285714,1.0
87,0.5454615884156965,0.0,0.0,5.0,0.0,0.0,0.0
88,0.8693165503453224,11.8112013920858,0.0,2.0,2.0,1.0,1.0
89,0.704177536184897,0.0,1.0,6.0,0.0,0.0,0.0
90,0.8398751784067586,14.611338614907297,1.0,2.0,2.0,1.0,1.0
91,0.6030599553264828,0.0,0.0,4.0,0.0,0.0,0.0
92,0.9308528964258775,13.90134036530084,0.0,3.0,2.0,0.6666666666666666,1.0
93,0.7657077180194373,0.0,0.0,3.0,0.0,0.0,0.0
94,0.9114597962125142,5.68432866829818,0.0,5.0,2.0,0.4,1.0
95,0.8745252655922331,3.7575442437807247,0.0,4.0,1.0,0.25,0.0
96,0.7687493378804217,4.819359526340235,1.0,5.0,1.0,0.2,1.0
97,0.5877415662395418,0.0,0.0,1.0,0.0,0.0,0.0
98,0.930798313373485,23.210205740160816,0.0,7.0,4.0,0.5714285714285714,1.0
99,0.7195468550169916,0.0,0.0,5.0,0.0,0.0,0.0
100,0.8926569761594659,6.228046876649019,0.0,8.0,2.0,0.25,1.0
101,0.7561858827916463,2.755853829610154,2.0,5.0,1.0,0.2,0.0
102,0.7533876187011707,11.212788019794406,0.0,6.0,2.0,0.3333333333333333,1.0
103,0.5960713797935268,0.0,0.0,4.0,0.0,0.0,0.0
104,0.7934983559274048,2.026797405707268,0.0,5.0,1.0,0.2,1.0
105,0.8296504154174211,2.438218464474338,0.0,3.0,1.0,0.3333333333333333,0.0
106,0.9461347547711131,15.217983221643308,0.0,8.0,4.0,0.5,1.0
107,0.8247396483974969,3.1699563150597077,0.0,9.0,1.0,0.1111111111111111,0.0
108,0.7847210593183018,10.195131436181121,1.0,6.0,2.0,0.3333333333333333,1.0
109,0.6416780355364197,0.0,1.0,5.0,0.0,0.0,0.0
110,0.8681596286893409,8.111205532626725,0.0,2.0,1.0,0.5,1.0
111,0.7926862029374052,3.797577308051937,0.0,9.0,1.0,0.1111111111111111,0.0
112,0.936908671931307,19.85041126583753,0.0,6.0,4.0,0.6666666666666666,1.0
113,0.8202656273024217,2.9338155618022617,0.0,5.0,1.0,0.2,0.0
114,0.8676267879268977,7.412841031253147,0.0,2.0,1.0,0.5,1.0
115,0.7163022324141383,0.0,0.0,16.0,0.0,0.0,0.0
116,0.8942865205892404,14.145293520521053,0.0,3.0,2.0,0.6666666666666666,1.0
